"TOWNCODE","PERIOD","AGE","CASE","POP"
"10010030","1995-1999","50-54",58,79413
"10010030","1995-1999","55-59",30,25632
"10010030","1995-1999","60-64",16,9049
"10010030","1995-1999","65-69",16,14948
"10010030","1995-1999","70-74",152,79773
"10010030","1995-1999","75-79",146,69740
"10010030","1995-1999","80-84",303,124514
"10010030","2000-2004","40-44",50,158870
"10010030","2000-2004","45-49",30,70491
"10010030","2000-2004","50-54",23,25463
"10010030","2000-2004","55-59",257,217405
"10010030","2000-2004","60-64",332,251136
"10010030","2000-2004","65-69",69,46825
"10010030","2000-2004","70-74",19,11293
"10010030","2000-2004","75-79",61,25373
"10010030","2000-2004","80-84",138,50271
"10010030","2005-2009","40-44",5,24972
"10010030","2005-2009","45-49",3,7038
"10010030","2005-2009","50-54",3,12747
"10010030","2005-2009","55-59",36,34549
"10010030","2005-2009","60-64",87,67936
"10010030","2005-2009","65-69",193,118512
"10010030","2005-2009","70-74",37,18591
"10010030","2005-2009","75-79",53,19066
"10010030","2005-2009","80-84",161,52516
"10010030","2010-2014","40-44",4,30394
"10010030","2010-2014","45-49",28,64162
"10010030","2010-2014","50-54",17,24144
"10010030","2010-2014","55-59",25,22770
"10010030","2010-2014","60-64",25,20853
"10010030","2010-2014","65-69",20,10938
"10010030","2010-2014","70-74",8,2633
"10010030","2010-2014","75-79",76,19358
"10010030","2010-2014","80-84",124,36964
"10010030","2015-2019","40-44",14,65686
"10010030","2015-2019","45-49",12,32246
"10010030","2015-2019","50-54",14,28035
"10010030","2015-2019","55-59",13,23256
"10010030","2015-2019","60-64",68,53823
"10010030","2015-2019","65-69",185,107358
"10010030","2015-2019","70-74",37,14253
"10010030","2015-2019","75-79",102,36207
"10010030","2015-2019","80-84",69,19421
"10010040","1995-1999","40-44",7,22844
"10010040","1995-1999","45-49",25,60116
"10010040","1995-1999","50-54",32,61185
"10010040","1995-1999","55-59",9,18389
"10010040","1995-1999","60-64",13,14867
"10010040","1995-1999","65-69",25,17093
"10010040","1995-1999","70-74",72,40050
"10010040","1995-1999","75-79",32,14268
"10010040","1995-1999","80-84",46,17738
"10010040","2000-2004","40-44",6,25365
"10010040","2000-2004","45-49",0,7408
"10010040","2000-2004","50-54",8,11240
"10010040","2000-2004","55-59",13,11520
"10010040","2000-2004","60-64",24,25985
"10010040","2000-2004","65-69",28,19359
"10010040","2000-2004","70-74",57,28296
"10010040","2000-2004","75-79",175,78883
"10010040","2000-2004","80-84",43,20511
"10010040","2005-2009","40-44",2,9848
"10010040","2005-2009","45-49",2,5801
"10010040","2005-2009","50-54",107,164870
"10010040","2005-2009","55-59",22,31321
"10010040","2005-2009","60-64",133,134802
"10010040","2005-2009","65-69",10,7541
"10010040","2005-2009","70-74",130,80761
"10010040","2005-2009","75-79",29,14077
"10010040","2005-2009","80-84",40,13824
"10010040","2010-2014","40-44",5,13654
"10010040","2010-2014","45-49",8,24151
"10010040","2010-2014","50-54",7,19903
"10010040","2010-2014","55-59",136,194673
"10010040","2010-2014","60-64",33,39095
"10010040","2010-2014","65-69",49,37028
"10010040","2010-2014","70-74",66,42566
"10010040","2010-2014","75-79",94,39844
"10010040","2010-2014","80-84",44,15989
"10010040","2015-2019","40-44",4,13334
"10010040","2015-2019","45-49",5,15474
"10010040","2015-2019","50-54",133,253907
"10010040","2015-2019","55-59",15,14589
"10010040","2015-2019","60-64",31,29357
"10010040","2015-2019","65-69",204,145698
"10010040","2015-2019","70-74",123,62722
"10010040","2015-2019","75-79",130,65500
"10010040","2015-2019","80-84",424,132372
"10010050","1995-1999","40-44",28,109429
"10010050","1995-1999","45-49",5,9115
"10010050","1995-1999","50-54",15,30495
"10010050","1995-1999","55-59",16,25087
"10010050","1995-1999","60-64",22,25192
"10010050","1995-1999","65-69",6,6255
"10010050","1995-1999","70-74",21,11692
"10010050","1995-1999","75-79",149,72912
"10010050","1995-1999","80-84",53,21143
"10010050","2000-2004","40-44",11,49053
"10010050","2000-2004","45-49",6,18724
"10010050","2000-2004","50-54",10,9053
"10010050","2000-2004","55-59",26,27210
"10010050","2000-2004","60-64",22,22960
"10010050","2000-2004","65-69",58,40920
"10010050","2000-2004","70-74",17,8475
"10010050","2000-2004","75-79",183,76793
"10010050","2000-2004","80-84",206,59850
"10010050","2005-2009","40-44",10,30741
"10010050","2005-2009","45-49",11,23291
"10010050","2005-2009","50-54",13,26991
"10010050","2005-2009","55-59",8,18371
"10010050","2005-2009","60-64",14,10695
"10010050","2005-2009","65-69",35,23063
"10010050","2005-2009","70-74",70,39075
"10010050","2005-2009","75-79",125,45897
"10010050","2005-2009","80-84",75,21576
"10010050","2010-2014","40-44",26,71134
"10010050","2010-2014","45-49",17,42554
"10010050","2010-2014","50-54",8,15729
"10010050","2010-2014","55-59",12,14934
"10010050","2010-2014","60-64",235,211933
"10010050","2010-2014","65-69",94,57501
"10010050","2010-2014","70-74",220,111411
"10010050","2010-2014","75-79",97,40704
"10010050","2010-2014","80-84",86,23222
"10010050","2015-2019","40-44",7,20062
"10010050","2015-2019","45-49",22,43760
"10010050","2015-2019","50-54",11,27153
"10010050","2015-2019","55-59",283,374435
"10010050","2015-2019","60-64",63,52185
"10010050","2015-2019","65-69",93,74786
"10010050","2015-2019","70-74",53,25276
"10010050","2015-2019","75-79",61,29107
"10010050","2015-2019","80-84",195,71677
"10010060","1995-1999","40-44",23,67390
"10010060","1995-1999","45-49",2,9034
"10010060","1995-1999","50-54",6,19808
"10010060","1995-1999","55-59",10,18314
"10010060","1995-1999","60-64",43,62983
"10010060","1995-1999","65-69",3,4561
"10010060","1995-1999","70-74",123,73572
"10010060","1995-1999","75-79",12,4933
"10010060","1995-1999","80-84",76,33067
"10010060","2000-2004","40-44",3,12679
"10010060","2000-2004","45-49",17,65319
"10010060","2000-2004","50-54",30,82036
"10010060","2000-2004","55-59",14,27274
"10010060","2000-2004","60-64",14,19080
"10010060","2000-2004","65-69",35,29926
"10010060","2000-2004","70-74",78,51404
"10010060","2000-2004","75-79",32,17457
"10010060","2000-2004","80-84",40,15174
"10010060","2005-2009","40-44",4,20242
"10010060","2005-2009","45-49",5,23567
"10010060","2005-2009","50-54",30,57918
"10010060","2005-2009","55-59",5,11284
"10010060","2005-2009","60-64",64,63748
"10010060","2005-2009","65-69",44,25781
"10010060","2005-2009","70-74",44,22260
"10010060","2005-2009","75-79",80,38056
"10010060","2005-2009","80-84",84,37964
"10010060","2010-2014","40-44",55,219585
"10010060","2010-2014","45-49",18,50223
"10010060","2010-2014","50-54",69,107084
"10010060","2010-2014","55-59",15,19325
"10010060","2010-2014","60-64",25,29919
"10010060","2010-2014","65-69",28,17783
"10010060","2010-2014","70-74",27,16851
"10010060","2010-2014","75-79",572,251790
"10010060","2010-2014","80-84",96,29860
"10010060","2015-2019","40-44",18,57411
"10010060","2015-2019","45-49",27,88463
"10010060","2015-2019","50-54",27,75600
"10010060","2015-2019","55-59",43,70656
"10010060","2015-2019","60-64",16,16843
"10010060","2015-2019","65-69",91,78686
"10010060","2015-2019","70-74",70,43677
"10010060","2015-2019","75-79",345,139109
"10010060","2015-2019","80-84",272,91499
"10010070","1995-1999","40-44",7,25779
"10010070","1995-1999","45-49",5,8428
"10010070","1995-1999","50-54",21,42610
"10010070","1995-1999","55-59",20,32432
"10010070","1995-1999","60-64",24,28588
"10010070","1995-1999","65-69",349,285796
"10010070","1995-1999","70-74",58,42408
"10010070","1995-1999","75-79",83,47138
"10010070","1995-1999","80-84",240,90929
"10010070","2000-2004","40-44",98,256073
"10010070","2000-2004","45-49",18,29596
"10010070","2000-2004","50-54",29,54685
"10010070","2000-2004","55-59",17,28099
"10010070","2000-2004","60-64",61,57847
"10010070","2000-2004","65-69",18,15544
"10010070","2000-2004","70-74",13,8451
"10010070","2000-2004","75-79",117,48884
"10010070","2000-2004","80-84",69,25988
"10010070","2005-2009","40-44",6,20993
"10010070","2005-2009","45-49",5,12114
"10010070","2005-2009","50-54",31,78633
"10010070","2005-2009","55-59",53,63292
"10010070","2005-2009","60-64",23,26394
"10010070","2005-2009","65-69",149,110725
"10010070","2005-2009","70-74",22,17990
"10010070","2005-2009","75-79",56,21563
"10010070","2005-2009","80-84",170,66202
"10010070","2010-2014","40-44",11,35729
"10010070","2010-2014","45-49",14,41659
"10010070","2010-2014","50-54",7,9470
"10010070","2010-2014","55-59",18,21904
"10010070","2010-2014","60-64",129,125843
"10010070","2010-2014","65-69",37,26364
"10010070","2010-2014","70-74",43,17382
"10010070","2010-2014","75-79",175,79480
"10010070","2010-2014","80-84",31,10256
"10010070","2015-2019","40-44",70,269122
"10010070","2015-2019","45-49",20,49763
"10010070","2015-2019","50-54",30,44979
"10010070","2015-2019","55-59",37,76504
"10010070","2015-2019","60-64",67,66666
"10010070","2015-2019","65-69",45,28010
"10010070","2015-2019","70-74",79,41397
"10010070","2015-2019","75-79",144,64115
"10010070","2015-2019","80-84",11,2170
"10010080","1995-1999","40-44",3,20868
"10010080","1995-1999","45-49",7,12539
"10010080","1995-1999","50-54",7,23147
"10010080","1995-1999","55-59",34,47999
"10010080","1995-1999","60-64",34,31441
"10010080","1995-1999","65-69",96,72663
"10010080","1995-1999","70-74",26,18104
"10010080","1995-1999","75-79",100,48461
"10010080","1995-1999","80-84",576,219204
"10010080","2000-2004","40-44",18,50490
"10010080","2000-2004","45-49",7,24801
"10010080","2000-2004","50-54",10,22833
"10010080","2000-2004","55-59",59,78468
"10010080","2000-2004","60-64",197,188163
"10010080","2000-2004","65-69",4,7705
"10010080","2000-2004","70-74",49,33475
"10010080","2000-2004","75-79",178,81265
"10010080","2000-2004","80-84",59,22807
"10010080","2005-2009","40-44",15,48065
"10010080","2005-2009","45-49",12,29606
"10010080","2005-2009","50-54",71,111118
"10010080","2005-2009","55-59",121,148193
"10010080","2005-2009","60-64",22,18358
"10010080","2005-2009","65-69",158,128134
"10010080","2005-2009","70-74",87,52829
"10010080","2005-2009","75-79",281,123110
"10010080","2005-2009","80-84",415,150177
"10010080","2010-2014","40-44",23,60414
"10010080","2010-2014","45-49",8,31489
"10010080","2010-2014","50-54",62,118837
"10010080","2010-2014","55-59",36,55977
"10010080","2010-2014","60-64",24,20232
"10010080","2010-2014","65-69",156,107764
"10010080","2010-2014","70-74",57,30980
"10010080","2010-2014","75-79",274,107104
"10010080","2010-2014","80-84",215,71633
"10010080","2015-2019","40-44",9,44935
"10010080","2015-2019","45-49",10,33221
"10010080","2015-2019","50-54",11,21197
"10010080","2015-2019","55-59",12,14482
"10010080","2015-2019","60-64",20,22895
"10010080","2015-2019","65-69",47,34949
"10010080","2015-2019","70-74",111,54371
"10010080","2015-2019","75-79",64,28732
"10010080","2015-2019","80-84",106,29237
"10010090","1995-1999","40-44",5,13740
"10010090","1995-1999","45-49",15,44529
"10010090","1995-1999","50-54",28,43727
"10010090","1995-1999","55-59",18,22139
"10010090","1995-1999","60-64",119,139293
"10010090","1995-1999","65-69",83,63224
"10010090","1995-1999","70-74",77,47433
"10010090","1995-1999","75-79",60,25892
"10010090","1995-1999","80-84",151,59826
"10010090","2000-2004","40-44",13,52438
"10010090","2000-2004","45-49",4,13980
"10010090","2000-2004","50-54",7,13987
"10010090","2000-2004","55-59",85,87995
"10010090","2000-2004","60-64",39,22850
"10010090","2000-2004","65-69",28,24382
"10010090","2000-2004","70-74",106,64690
"10010090","2000-2004","75-79",59,25749
"10010090","2000-2004","80-84",58,20057
"10010090","2005-2009","40-44",55,203765
"10010090","2005-2009","45-49",6,11229
"10010090","2005-2009","50-54",8,17022
"10010090","2005-2009","55-59",42,58104
"10010090","2005-2009","60-64",64,63434
"10010090","2005-2009","65-69",269,186149
"10010090","2005-2009","70-74",71,41469
"10010090","2005-2009","75-79",105,51683
"10010090","2005-2009","80-84",254,88889
"10010090","2010-2014","40-44",2,14390
"10010090","2010-2014","45-49",9,23760
"10010090","2010-2014","50-54",62,105888
"10010090","2010-2014","55-59",12,13586
"10010090","2010-2014","60-64",17,15338
"10010090","2010-2014","65-69",12,13985
"10010090","2010-2014","70-74",77,39511
"10010090","2010-2014","75-79",63,25677
"10010090","2010-2014","80-84",40,11101
"10010090","2015-2019","40-44",14,72683
"10010090","2015-2019","45-49",13,39264
"10010090","2015-2019","50-54",21,39169
"10010090","2015-2019","55-59",6,14120
"10010090","2015-2019","60-64",31,35325
"10010090","2015-2019","65-69",41,25535
"10010090","2015-2019","70-74",820,446955
"10010090","2015-2019","75-79",29,14500
"10010090","2015-2019","80-84",16,5581
"10010100","1995-1999","40-44",48,96666
"10010100","1995-1999","45-49",47,73029
"10010100","1995-1999","50-54",31,30595
"10010100","1995-1999","55-59",86,66679
"10010100","1995-1999","60-64",25,22596
"10010100","1995-1999","65-69",24,20179
"10010100","1995-1999","70-74",55,32468
"10010100","1995-1999","75-79",184,79049
"10010100","1995-1999","80-84",167,60570
"10010100","2000-2004","40-44",27,91490
"10010100","2000-2004","45-49",6,13846
"10010100","2000-2004","50-54",40,49032
"10010100","2000-2004","55-59",112,83337
"10010100","2000-2004","60-64",127,78051
"10010100","2000-2004","65-69",74,37617
"10010100","2000-2004","70-74",42,21230
"10010100","2000-2004","75-79",92,37840
"10010100","2000-2004","80-84",104,30539
"10010100","2005-2009","40-44",2,8991
"10010100","2005-2009","45-49",22,50715
"10010100","2005-2009","50-54",41,54378
"10010100","2005-2009","55-59",36,28507
"10010100","2005-2009","60-64",5,5032
"10010100","2005-2009","65-69",120,67176
"10010100","2005-2009","70-74",412,173324
"10010100","2005-2009","75-79",78,29232
"10010100","2005-2009","80-84",151,41655
"10010100","2010-2014","40-44",18,73937
"10010100","2010-2014","45-49",44,88220
"10010100","2010-2014","50-54",16,25045
"10010100","2010-2014","55-59",7,5190
"10010100","2010-2014","60-64",70,46852
"10010100","2010-2014","65-69",28,19546
"10010100","2010-2014","70-74",45,16712
"10010100","2010-2014","75-79",51,13896
"10010100","2010-2014","80-84",51,10713
"10010100","2015-2019","40-44",11,28335
"10010100","2015-2019","45-49",3,9348
"10010100","2015-2019","50-54",16,24953
"10010100","2015-2019","55-59",15,16127
"10010100","2015-2019","60-64",34,23544
"10010100","2015-2019","65-69",76,39662
"10010100","2015-2019","70-74",60,27443
"10010100","2015-2019","75-79",86,24130
"10010100","2015-2019","80-84",69,14269
"10010110","1995-1999","40-44",6,17933
"10010110","1995-1999","45-49",7,17437
"10010110","1995-1999","50-54",36,35117
"10010110","1995-1999","55-59",16,14811
"10010110","1995-1999","60-64",8,7067
"10010110","1995-1999","65-69",122,78333
"10010110","1995-1999","70-74",61,37127
"10010110","1995-1999","75-79",49,19335
"10010110","1995-1999","80-84",43,22357
"10010110","2000-2004","40-44",8,33260
"10010110","2000-2004","45-49",25,43243
"10010110","2000-2004","50-54",40,54695
"10010110","2000-2004","55-59",68,66369
"10010110","2000-2004","60-64",69,57556
"10010110","2000-2004","65-69",50,35431
"10010110","2000-2004","70-74",131,56966
"10010110","2000-2004","75-79",77,24780
"10010110","2000-2004","80-84",56,15780
"10010110","2005-2009","40-44",2,13145
"10010110","2005-2009","45-49",22,49788
"10010110","2005-2009","50-54",14,22488
"10010110","2005-2009","55-59",16,12789
"10010110","2005-2009","60-64",83,62586
"10010110","2005-2009","65-69",90,40808
"10010110","2005-2009","70-74",40,22929
"10010110","2005-2009","75-79",24,8130
"10010110","2005-2009","80-84",52,16510
"10010110","2010-2014","40-44",3,31010
"10010110","2010-2014","45-49",13,30728
"10010110","2010-2014","50-54",58,91845
"10010110","2010-2014","55-59",7,13894
"10010110","2010-2014","60-64",122,82263
"10010110","2010-2014","65-69",76,37796
"10010110","2010-2014","70-74",35,15158
"10010110","2010-2014","75-79",375,115554
"10010110","2010-2014","80-84",546,144402
"10010110","2015-2019","40-44",40,114409
"10010110","2015-2019","45-49",35,89340
"10010110","2015-2019","50-54",125,210820
"10010110","2015-2019","55-59",59,58803
"10010110","2015-2019","60-64",65,43701
"10010110","2015-2019","65-69",109,54754
"10010110","2015-2019","70-74",112,36195
"10010110","2015-2019","75-79",130,36550
"10010110","2015-2019","80-84",57,10950
"10010120","1995-1999","40-44",11,23124
"10010120","1995-1999","45-49",13,38935
"10010120","1995-1999","50-54",11,15132
"10010120","1995-1999","55-59",27,28757
"10010120","1995-1999","60-64",38,31713
"10010120","1995-1999","65-69",23,18527
"10010120","1995-1999","70-74",77,41576
"10010120","1995-1999","75-79",24,10479
"10010120","1995-1999","80-84",184,63910
"10010120","2000-2004","40-44",2,9086
"10010120","2000-2004","45-49",5,6049
"10010120","2000-2004","50-54",2,7739
"10010120","2000-2004","55-59",33,42762
"10010120","2000-2004","60-64",23,20350
"10010120","2000-2004","65-69",69,45049
"10010120","2000-2004","70-74",35,15810
"10010120","2000-2004","75-79",26,11314
"10010120","2000-2004","80-84",97,30278
"10010120","2005-2009","40-44",19,47153
"10010120","2005-2009","45-49",40,58321
"10010120","2005-2009","50-54",30,32249
"10010120","2005-2009","55-59",86,103229
"10010120","2005-2009","60-64",59,41192
"10010120","2005-2009","65-69",25,12319
"10010120","2005-2009","70-74",63,32124
"10010120","2005-2009","75-79",47,13743
"10010120","2005-2009","80-84",87,26564
"10010120","2010-2014","40-44",3,16755
"10010120","2010-2014","45-49",12,30227
"10010120","2010-2014","50-54",19,31574
"10010120","2010-2014","55-59",16,17075
"10010120","2010-2014","60-64",43,35383
"10010120","2010-2014","65-69",40,25339
"10010120","2010-2014","70-74",57,24179
"10010120","2010-2014","75-79",156,44884
"10010120","2010-2014","80-84",129,31547
"10010120","2015-2019","40-44",4,38269
"10010120","2015-2019","45-49",5,7882
"10010120","2015-2019","50-54",15,25966
"10010120","2015-2019","55-59",14,18531
"10010120","2015-2019","60-64",18,14141
"10010120","2015-2019","65-69",76,46802
"10010120","2015-2019","70-74",24,8787
"10010120","2015-2019","75-79",172,53783
"10010120","2015-2019","80-84",146,35110
"10010130","1995-1999","40-44",6,12601
"10010130","1995-1999","45-49",35,64612
"10010130","1995-1999","50-54",20,30648
"10010130","1995-1999","55-59",11,10126
"10010130","1995-1999","60-64",24,14654
"10010130","1995-1999","65-69",79,44387
"10010130","1995-1999","70-74",42,18700
"10010130","1995-1999","75-79",135,59540
"10010130","1995-1999","80-84",27,7276
"10010130","2000-2004","40-44",15,32734
"10010130","2000-2004","45-49",18,23185
"10010130","2000-2004","50-54",38,54094
"10010130","2000-2004","55-59",14,11670
"10010130","2000-2004","60-64",9,10625
"10010130","2000-2004","65-69",111,63645
"10010130","2000-2004","70-74",82,37555
"10010130","2000-2004","75-79",78,28455
"10010130","2000-2004","80-84",72,19475
"10010130","2005-2009","40-44",6,20702
"10010130","2005-2009","45-49",7,11757
"10010130","2005-2009","50-54",13,25349
"10010130","2005-2009","55-59",28,24985
"10010130","2005-2009","60-64",74,58417
"10010130","2005-2009","65-69",122,66277
"10010130","2005-2009","70-74",92,35859
"10010130","2005-2009","75-79",311,102069
"10010130","2005-2009","80-84",295,85672
"10010130","2010-2014","40-44",11,29165
"10010130","2010-2014","45-49",4,12853
"10010130","2010-2014","50-54",33,43906
"10010130","2010-2014","55-59",42,52690
"10010130","2010-2014","60-64",18,14739
"10010130","2010-2014","65-69",98,53342
"10010130","2010-2014","70-74",25,9918
"10010130","2010-2014","75-79",14,4790
"10010130","2010-2014","80-84",71,18487
"10010130","2015-2019","40-44",3,12586
"10010130","2015-2019","45-49",24,52651
"10010130","2015-2019","50-54",17,22013
"10010130","2015-2019","55-59",26,22605
"10010130","2015-2019","60-64",108,90143
"10010130","2015-2019","65-69",43,16179
"10010130","2015-2019","70-74",451,182727
"10010130","2015-2019","75-79",79,17801
"10010130","2015-2019","80-84",75,18589
"10010140","1995-1999","40-44",10,30144
"10010140","1995-1999","45-49",53,110996
"10010140","1995-1999","50-54",19,26966
"10010140","1995-1999","55-59",158,150101
"10010140","1995-1999","60-64",33,23911
"10010140","1995-1999","65-69",143,73246
"10010140","1995-1999","70-74",77,30476
"10010140","1995-1999","75-79",41,16754
"10010140","1995-1999","80-84",28,5770
"10010140","2000-2004","40-44",10,20480
"10010140","2000-2004","45-49",6,15030
"10010140","2000-2004","50-54",62,80328
"10010140","2000-2004","55-59",17,15286
"10010140","2000-2004","60-64",28,28115
"10010140","2000-2004","65-69",21,9948
"10010140","2000-2004","70-74",46,21957
"10010140","2000-2004","75-79",107,36467
"10010140","2000-2004","80-84",128,29678
"10010140","2005-2009","40-44",26,56684
"10010140","2005-2009","45-49",83,165253
"10010140","2005-2009","50-54",44,41068
"10010140","2005-2009","55-59",28,28727
"10010140","2005-2009","60-64",94,69538
"10010140","2005-2009","65-69",465,249723
"10010140","2005-2009","70-74",73,29096
"10010140","2005-2009","75-79",77,25831
"10010140","2005-2009","80-84",132,30369
"10010140","2010-2014","40-44",6,21019
"10010140","2010-2014","45-49",13,24915
"10010140","2010-2014","50-54",295,366475
"10010140","2010-2014","55-59",198,190258
"10010140","2010-2014","60-64",34,24706
"10010140","2010-2014","65-69",277,160941
"10010140","2010-2014","70-74",42,19266
"10010140","2010-2014","75-79",137,47372
"10010140","2010-2014","80-84",317,73428
"10010140","2015-2019","40-44",18,31893
"10010140","2015-2019","45-49",2,5956
"10010140","2015-2019","50-54",54,69845
"10010140","2015-2019","55-59",79,79182
"10010140","2015-2019","60-64",10,15968
"10010140","2015-2019","65-69",60,27073
"10010140","2015-2019","70-74",100,38550
"10010140","2015-2019","75-79",57,19824
"10010140","2015-2019","80-84",139,33758
"10010150","1995-1999","40-44",19,51087
"10010150","1995-1999","45-49",7,16998
"10010150","1995-1999","50-54",34,33733
"10010150","1995-1999","55-59",64,61861
"10010150","1995-1999","60-64",211,148369
"10010150","1995-1999","65-69",25,14452
"10010150","1995-1999","70-74",69,31678
"10010150","1995-1999","75-79",231,72153
"10010150","1995-1999","80-84",131,27899
"10010150","2000-2004","40-44",3,16880
"10010150","2000-2004","45-49",12,25548
"10010150","2000-2004","50-54",10,17329
"10010150","2000-2004","55-59",24,29008
"10010150","2000-2004","60-64",7,8448
"10010150","2000-2004","65-69",19,9671
"10010150","2000-2004","70-74",1,1314
"10010150","2000-2004","75-79",105,34270
"10010150","2000-2004","80-84",412,101354
"10010150","2005-2009","40-44",14,35565
"10010150","2005-2009","45-49",77,151933
"10010150","2005-2009","50-54",54,69806
"10010150","2005-2009","55-59",38,32871
"10010150","2005-2009","60-64",88,63024
"10010150","2005-2009","65-69",47,29274
"10010150","2005-2009","70-74",147,60299
"10010150","2005-2009","75-79",388,116694
"10010150","2005-2009","80-84",63,11766
"10010150","2010-2014","40-44",5,13665
"10010150","2010-2014","45-49",33,68873
"10010150","2010-2014","50-54",41,44121
"10010150","2010-2014","55-59",11,13178
"10010150","2010-2014","60-64",34,27980
"10010150","2010-2014","65-69",103,57379
"10010150","2010-2014","70-74",98,38458
"10010150","2010-2014","75-79",132,44224
"10010150","2010-2014","80-84",24,7995
"10010150","2015-2019","40-44",15,48714
"10010150","2015-2019","45-49",13,17315
"10010150","2015-2019","50-54",30,39125
"10010150","2015-2019","55-59",35,29525
"10010150","2015-2019","60-64",216,133817
"10010150","2015-2019","65-69",22,9878
"10010150","2015-2019","70-74",36,22250
"10010150","2015-2019","75-79",61,21556
"10010150","2015-2019","80-84",254,64036
"10010160","1995-1999","40-44",6,24631
"10010160","1995-1999","45-49",14,23092
"10010160","1995-1999","50-54",48,54840
"10010160","1995-1999","55-59",11,11918
"10010160","1995-1999","60-64",30,20011
"10010160","1995-1999","65-69",47,21477
"10010160","1995-1999","70-74",138,56951
"10010160","1995-1999","75-79",170,52359
"10010160","1995-1999","80-84",323,81653
"10010160","2000-2004","40-44",59,96244
"10010160","2000-2004","45-49",9,28862
"10010160","2000-2004","50-54",19,35291
"10010160","2000-2004","55-59",95,93687
"10010160","2000-2004","60-64",67,35654
"10010160","2000-2004","65-69",70,31165
"10010160","2000-2004","70-74",243,96105
"10010160","2000-2004","75-79",162,48245
"10010160","2000-2004","80-84",323,75155
"10010160","2005-2009","40-44",8,20516
"10010160","2005-2009","45-49",8,15172
"10010160","2005-2009","50-54",5,9578
"10010160","2005-2009","55-59",66,61009
