"TOWNCODE","PERIOD","AGE","CASE","POP"
"10010120","2015-2019","65-69",11,6766
"10010120","2015-2019","70-74",90,29641
"10010120","2015-2019","75-79",55,25760
"10010120","2015-2019","80-84",140,43924
"10010130","1995-1999","40-44",20,35878
"10010130","1995-1999","45-49",51,95201
"10010130","1995-1999","50-54",26,29312
"10010130","1995-1999","55-59",32,24923
"10010130","1995-1999","60-64",31,26866
"10010130","1995-1999","65-69",68,51597
"10010130","1995-1999","70-74",646,366831
"10010130","1995-1999","75-79",715,306367
"10010130","1995-1999","80-84",233,77522
"10010130","2000-2004","40-44",29,65267
"10010130","2000-2004","45-49",29,61171
"10010130","2000-2004","50-54",67,83658
"10010130","2000-2004","55-59",25,26691
"10010130","2000-2004","60-64",45,36962
"10010130","2000-2004","65-69",33,22510
"10010130","2000-2004","70-74",56,25955
"10010130","2000-2004","75-79",6,2694
"10010130","2000-2004","80-84",94,32005
"10010130","2005-2009","40-44",9,17932
"10010130","2005-2009","45-49",3,10728
"10010130","2005-2009","50-54",24,36565
"10010130","2005-2009","55-59",19,13832
"10010130","2005-2009","60-64",42,23397
"10010130","2005-2009","65-69",32,19081
"10010130","2005-2009","70-74",60,33727
"10010130","2005-2009","75-79",363,140605
"10010130","2005-2009","80-84",401,124153
"10010130","2010-2014","40-44",6,14509
"10010130","2010-2014","45-49",22,58637
"10010130","2010-2014","50-54",57,118448
"10010130","2010-2014","55-59",65,61435
"10010130","2010-2014","60-64",71,45835
"10010130","2010-2014","65-69",47,18262
"10010130","2010-2014","70-74",62,23852
"10010130","2010-2014","75-79",119,36975
"10010130","2010-2014","80-84",50,19991
"10010130","2015-2019","40-44",11,41320
"10010130","2015-2019","45-49",19,47447
"10010130","2015-2019","50-54",2,4813
"10010130","2015-2019","55-59",89,92436
"10010130","2015-2019","60-64",20,12671
"10010130","2015-2019","65-69",100,47376
"10010130","2015-2019","70-74",74,32662
"10010130","2015-2019","75-79",334,98992
"10010130","2015-2019","80-84",568,153619
"10010140","1995-1999","40-44",13,29287
"10010140","1995-1999","45-49",27,41844
"10010140","1995-1999","50-54",22,28839
"10010140","1995-1999","55-59",173,164155
"10010140","1995-1999","60-64",94,80582
"10010140","1995-1999","65-69",16,9781
"10010140","1995-1999","70-74",50,22871
"10010140","1995-1999","75-79",81,28582
"10010140","1995-1999","80-84",458,127669
"10010140","2000-2004","40-44",17,24087
"10010140","2000-2004","45-49",28,50359
"10010140","2000-2004","50-54",200,238222
"10010140","2000-2004","55-59",69,60748
"10010140","2000-2004","60-64",22,14924
"10010140","2000-2004","65-69",39,19630
"10010140","2000-2004","70-74",50,27508
"10010140","2000-2004","75-79",79,27806
"10010140","2000-2004","80-84",105,27054
"10010140","2005-2009","40-44",53,123397
"10010140","2005-2009","45-49",27,65678
"10010140","2005-2009","50-54",48,44758
"10010140","2005-2009","55-59",5,6792
"10010140","2005-2009","60-64",29,14541
"10010140","2005-2009","65-69",53,26871
"10010140","2005-2009","70-74",135,68668
"10010140","2005-2009","75-79",168,61998
"10010140","2005-2009","80-84",82,23810
"10010140","2010-2014","40-44",15,35114
"10010140","2010-2014","45-49",2,12970
"10010140","2010-2014","50-54",19,27158
"10010140","2010-2014","55-59",68,59292
"10010140","2010-2014","60-64",30,23531
"10010140","2010-2014","65-69",37,14358
"10010140","2010-2014","70-74",164,59302
"10010140","2010-2014","75-79",98,32747
"10010140","2010-2014","80-84",163,38831
"10010140","2015-2019","40-44",10,19610
"10010140","2015-2019","45-49",12,11672
"10010140","2015-2019","50-54",12,14295
"10010140","2015-2019","55-59",14,11443
"10010140","2015-2019","60-64",81,60416
"10010140","2015-2019","65-69",18,7953
"10010140","2015-2019","70-74",82,32159
"10010140","2015-2019","75-79",135,37732
"10010140","2015-2019","80-84",98,24265
"10010150","1995-1999","40-44",28,74238
"10010150","1995-1999","45-49",25,33789
"10010150","1995-1999","50-54",22,26256
"10010150","1995-1999","55-59",11,14723
"10010150","1995-1999","60-64",6,5315
"10010150","1995-1999","65-69",179,92151
"10010150","1995-1999","70-74",238,99467
"10010150","1995-1999","75-79",46,15410
"10010150","1995-1999","80-84",125,32150
"10010150","2000-2004","40-44",9,11164
"10010150","2000-2004","45-49",22,37367
"10010150","2000-2004","50-54",38,48485
"10010150","2000-2004","55-59",50,54926
"10010150","2000-2004","60-64",161,121824
"10010150","2000-2004","65-69",158,79766
"10010150","2000-2004","70-74",29,14390
"10010150","2000-2004","75-79",57,22329
"10010150","2000-2004","80-84",173,48914
"10010150","2005-2009","40-44",20,57541
"10010150","2005-2009","45-49",11,10511
"10010150","2005-2009","50-54",25,25084
"10010150","2005-2009","55-59",18,15598
"10010150","2005-2009","60-64",91,64556
"10010150","2005-2009","65-69",33,14863
"10010150","2005-2009","70-74",60,26563
"10010150","2005-2009","75-79",66,20962
"10010150","2005-2009","80-84",111,27074
"10010150","2010-2014","40-44",28,59729
"10010150","2010-2014","45-49",22,44230
"10010150","2010-2014","50-54",43,51360
"10010150","2010-2014","55-59",35,33530
"10010150","2010-2014","60-64",14,12087
"10010150","2010-2014","65-69",65,36118
"10010150","2010-2014","70-74",110,54186
"10010150","2010-2014","75-79",233,69772
"10010150","2010-2014","80-84",326,86454
"10010150","2015-2019","40-44",18,54029
"10010150","2015-2019","45-49",25,45544
"10010150","2015-2019","50-54",34,52501
"10010150","2015-2019","55-59",39,36640
"10010150","2015-2019","60-64",37,23414
"10010150","2015-2019","65-69",56,27143
"10010150","2015-2019","70-74",166,66101
"10010150","2015-2019","75-79",111,36123
"10010150","2015-2019","80-84",101,27192
"10010160","1995-1999","40-44",5,19348
"10010160","1995-1999","45-49",35,56569
"10010160","1995-1999","50-54",44,46896
"10010160","1995-1999","55-59",29,37076
"10010160","1995-1999","60-64",26,18223
"10010160","1995-1999","65-69",65,48170
"10010160","1995-1999","70-74",73,33091
"10010160","1995-1999","75-79",46,15239
"10010160","1995-1999","80-84",141,37154
"10010160","2000-2004","40-44",52,131041
"10010160","2000-2004","45-49",44,79096
"10010160","2000-2004","50-54",53,58189
"10010160","2000-2004","55-59",88,75042
"10010160","2000-2004","60-64",19,8223
"10010160","2000-2004","65-69",115,75021
"10010160","2000-2004","70-74",204,93390
"10010160","2000-2004","75-79",173,53013
"10010160","2000-2004","80-84",155,40882
"10010160","2005-2009","40-44",1,7600
"10010160","2005-2009","45-49",12,28343
"10010160","2005-2009","50-54",22,23877
"10010160","2005-2009","55-59",74,90180
